Source,Target,Type,Weight
Natália Lage,Bizarre Fish from the Abyssal Zone,Directed,1
Guilherme Briggs,Bizarre Fish from the Abyssal Zone,Directed,1
Rodrigo Santoro,Bizarre Fish from the Abyssal Zone,Directed,1
Marão,Bizarre Fish from the Abyssal Zone,Directed,1
Leticia Friedrich,Bizarre Fish from the Abyssal Zone,Directed,1
Fernando Miller,Bizarre Fish from the Abyssal Zone,Directed,1
Alessandro Monnerat,Bizarre Fish from the Abyssal Zone,Directed,1
Yohana Lazarova,Bizarre Fish from the Abyssal Zone,Directed,1
Rosaria,Bizarre Fish from the Abyssal Zone,Directed,1
Ana Luiza Pereira,Bizarre Fish from the Abyssal Zone,Directed,1
Duda Larson,Bizarre Fish from the Abyssal Zone,Directed,1
Hanna Queiroz,Fuligem,Directed,1
Giovanna Rubio Rotter,Fuligem,Directed,1
Michele Manoel,Fuligem,Directed,1
Isabela Lisboa,Fuligem,Directed,1
Letícia Catala,Fuligem,Directed,1
Gabriela Dyminski,Fuligem,Directed,1
Ella Gebara,Fuligem,Directed,1
Manoella Ferraz,Fuligem,Directed,1
Rafaela Araujo,Fuligem,Directed,1
Luiza Helena Alves,Um Festival Pela Vida Das Mulheres,Directed,1
Juliana Koetz,Um Festival Pela Vida Das Mulheres,Directed,1
Márcio Coutinho,Quer Que Eu Saia?,Directed,1
Ana Luiza Siqueira,Vila dos Criadores: O Direito de (R)Existir,Directed,1
Givanildo Batista,Vila dos Criadores: O Direito de (R)Existir,Directed,1
Adriana C. M. Duarte,Vila dos Criadores: O Direito de (R)Existir,Directed,1
Lucas Manuel Alves dos Santos,Vila dos Criadores: O Direito de (R)Existir,Directed,1
Denise Costa dos Santos,Vila dos Criadores: O Direito de (R)Existir,Directed,1
Letícia Fernanda da Silva,Vila dos Criadores: O Direito de (R)Existir,Directed,1
Mariane Prado,Vila dos Criadores: O Direito de (R)Existir,Directed,1
Tainá Muniz,Vila dos Criadores: O Direito de (R)Existir,Directed,1
André Job,As Cinzas de Pedro,Directed,1
Fernando Mendes,As Cinzas de Pedro,Directed,1
Lucas Spada,As Cinzas de Pedro,Directed,1
Isadora Siciliano Carrete,As Cinzas de Pedro,Directed,1
Fábio Santos,As Cinzas de Pedro,Directed,1
Guilherme Henrique Alves,As Cinzas de Pedro,Directed,1
Leonardo Mendonça,As Cinzas de Pedro,Directed,1
Giulia Collet,As Cinzas de Pedro,Directed,1
Lucas Alexandre,As Cinzas de Pedro,Directed,1
Pedro Melo,As Cinzas de Pedro,Directed,1
Pedro Pupo,As Cinzas de Pedro,Directed,1
Beatriz Nominato,As Cinzas de Pedro,Directed,1
Lucas Buli,As Cinzas de Pedro,Directed,1
Tais Medeiros,As Cinzas de Pedro,Directed,1
Carol Brant,As Cinzas de Pedro,Directed,1
André Piascentini Feitosa,As Cinzas de Pedro,Directed,1
Marcelo “PIG” Bosio,As Cinzas de Pedro,Directed,1
Catarina goncalves,As Cinzas de Pedro,Directed,1
Lucas Pontes,As Cinzas de Pedro,Directed,1
André Cerf,As Cinzas de Pedro,Directed,1
Maria das Mêrces,As Conspirações Alienígenas: part. I,Directed,1
Carlos Henrique,As Conspirações Alienígenas: part. I,Directed,1
Vasilios Papapitsio,PARAPRONOIA,Directed,1
Priscilla Colombi,Anita – A Guerreira de Dois Mundos,Directed,1
Cassiano Ranzolin,Anita – A Guerreira de Dois Mundos,Directed,1
Werner Schünneman,Anita – A Guerreira de Dois Mundos,Directed,1
Jackson Antunes,Anita – A Guerreira de Dois Mundos,Directed,1
Marcos Verza,Anita – A Guerreira de Dois Mundos,Directed,1
Sirmar Antunes,Anita – A Guerreira de Dois Mundos,Directed,1
Luis Franke,Anita – A Guerreira de Dois Mundos,Directed,1
Andressa Matos,Anita – A Guerreira de Dois Mundos,Directed,1
Leandro Shirmer,Anita – A Guerreira de Dois Mundos,Directed,1
Cássio Nascimento,Anita – A Guerreira de Dois Mundos,Directed,1
Guilherme Suman,Anita – A Guerreira de Dois Mundos,Directed,1
Zé Victor Castiel,Anita – A Guerreira de Dois Mundos,Directed,1
Marcello Crawshaw,Anita – A Guerreira de Dois Mundos,Directed,1
Rose Canal,Anita – A Guerreira de Dois Mundos,Directed,1
Cléo Ávila,Anita – A Guerreira de Dois Mundos,Directed,1
Renan Fagundes,Anita – A Guerreira de Dois Mundos,Directed,1
Pirisca Grecco,Anita – A Guerreira de Dois Mundos,Directed,1
Joca Martins,Anita – A Guerreira de Dois Mundos,Directed,1
Lilian Zoldan,Anita – A Guerreira de Dois Mundos,Directed,1
Liliana Cardoso,Anita – A Guerreira de Dois Mundos,Directed,1
Marcel Colares,Anita – A Guerreira de Dois Mundos,Directed,1
Leonardo Souza,Anita – A Guerreira de Dois Mundos,Directed,1
Mislaine Oliveira,Anita – A Guerreira de Dois Mundos,Directed,1
Thalysson de Oliveira,Anita – A Guerreira de Dois Mundos,Directed,1
Vanda Duarte,Anita – A Guerreira de Dois Mundos,Directed,1
Victor Hugo de Aquino,Anita – A Guerreira de Dois Mundos,Directed,1
Gustavo Crus,Anita – A Guerreira de Dois Mundos,Directed,1
Guilherme Ferreira,Anita – A Guerreira de Dois Mundos,Directed,1
Rafael Borba,Anita – A Guerreira de Dois Mundos,Directed,1
Thiago Suman,Anita – A Guerreira de Dois Mundos,Directed,1
João Pedro Gottardo,Anita – A Guerreira de Dois Mundos,Directed,1
Paulo Rosa,Anita – A Guerreira de Dois Mundos,Directed,1
Lucas Arenhardt,Anita – A Guerreira de Dois Mundos,Directed,1
Eduardo Antunes,Anita – A Guerreira de Dois Mundos,Directed,1
Duca Duarte,Anita – A Guerreira de Dois Mundos,Directed,1
Pollyana Castro,Quem eu quero ser,Directed,1
Vanessa Castro,Panacéia,Directed,1
Márcia Duarte,Panacéia,Directed,1
Camila Kupac,Panacéia,Directed,1
Moysés Victorino,Panacéia,Directed,1
Victória Citton,Panacéia,Directed,1
Giovana Morais,Panacéia,Directed,1
Giovanna Morais,Panacéia,Directed,1
jorge mendez,Panacéia,Directed,1
Ian Garcia,Panacéia,Directed,1
Luana Garczynski Alvim,Panacéia,Directed,1
Ariel Barcelos,Panacéia,Directed,1
Ingrid Dupont,Maré,Directed,1
Gabriel Kudla,Comprimidos,Directed,1
Heloísa Marshall,Comprimidos,Directed,1
Raí Benetti,Comprimidos,Directed,1
Felipe Liscano,Comprimidos,Directed,1
Marcos Kligman,Comprimidos,Directed,1
Dionata Mosley,Comprimidos,Directed,1
Adrielle Figueró,Fobia,Directed,1
Bemok Txucarramãe,Wamã Mekarõ,Directed,1
Simone Giovine,"Tuire, O Gesto do Facão",Directed,1
Ivich,Raoni. A descida do povo mebengôkre na terra.,Directed,1
Kokokaroti Txucarramãe,Raoni. A descida do povo mebengôkre na terra.,Directed,1
Matsipaya Waura Txucarramãe,Raoni. A descida do povo mebengôkre na terra.,Directed,1
Andressa Iremex Apinajé,(Re)Encontros - Akupӯnh awjanã,Directed,1
Celio Castro,(Re)Encontros - Akupӯnh awjanã,Directed,1
Gabriel Cardoso,(Re)Encontros - Akupӯnh awjanã,Directed,1
Laura Guimarães,(Re)Encontros - Akupӯnh awjanã,Directed,1
Odair Giraldin,(Re)Encontros - Akupӯnh awjanã,Directed,1
Ramon Batista,Jacu,Directed,1
Kethy Kist,Situationship,Directed,1
Tamiha Mohamed,Situationship,Directed,1
Victor Sant'annah,Situationship,Directed,1
Paulo Sloboda,Situationship,Directed,1
Ana Claúdia Miguel,Sola,Directed,1
Erick Martíncues,Sola,Directed,1
Sara Nichio,Sola,Directed,1
Natália Dornelas,Sola,Directed,1
Izah Cândido,Sola,Directed,1
YASMIN NOLASCO,Sola,Directed,1
Tati W. Franklin,Sola,Directed,1
GG FÁKỌ̀LÀDÉ,Sola,Directed,1
SULAMITA MC DA ROCHA,Sola,Directed,1
